product_name,product_link,image_url,category
PaNas 2 Fries Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/panas-2-fries-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/yZu9NtIwxFoMf3CXZhkd.png,Sarapan Pagi
PaMer 5 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/pamer-5-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/uVZydIjORFQpwsMGKtqH.png,Sarapan Pagi
PaMer 7 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/pamer-7-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/9JyVqBtC4lEnANtrY9Un.png,Sarapan Pagi
Paket HeBat - Chicken Burger Deluxe,https://www.mcdonalds.co.id/menu/paket-hebat-chicken-burger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/cLkDZAyReFLUzJGQ5OBi.png,Sarapan Pagi
Paket HeBat - Korean Soy Garlic Wings,https://www.mcdonalds.co.id/menu/paket-hebat-korean-soy-garlic-wings,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/Aa0hLHkYgf9janGvOoMT.png,Sarapan Pagi
Paket HeBat McSpaghetti Ayam McD (Krispy),https://www.mcdonalds.co.id/menu/paket-hebat-mcspaghetti-ayam-mcd-krispy,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/kxMceralJSNPUTUWXPA7.png,Sarapan Pagi
Paket HeBat McSpaghetti Ayam McD (Spicy),https://www.mcdonalds.co.id/menu/paket-hebat-mcspaghetti-ayam-mcd-spicy,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/UFvt4qHBda3GBYdDVAzc.png,Sarapan Pagi
Korean Soy Garlic Wings - A la Carte 6pcs,https://www.mcdonalds.co.id/menu/korean-soy-garlic-wings-a-la-carte-6pcs,https://d2vuyvo9qdtgo9.cloudfront.net/foods/January2024/VQCgCL4B1hTbvJTkWGJr.webp,Sarapan Pagi
PaNas Wings Korean Soy Garlic,https://www.mcdonalds.co.id/menu/panas-wings-korean-soy-garlic,https://d2vuyvo9qdtgo9.cloudfront.net/foods/January2024/SKpIEtxvjph5HAyhZEul.webp,Sarapan Pagi
Ayam Krispy McDonald's,https://www.mcdonalds.co.id/menu/ayam-krispy-mcdonalds,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/naEEY2DK99qNkcH9z2A1.webp,Sarapan Pagi
Ayam Spicy McDonald's,https://www.mcdonalds.co.id/menu/ayam-spicy-mcdonalds,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/OkOEg2VsTINmBazIzIUI.webp,Sarapan Pagi
PaNas 1,https://www.mcdonalds.co.id/menu/panas-1,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/zdp0LhOduHDNXVYWILMx.webp,Sarapan Pagi
PaNas 2 with Fries,https://www.mcdonalds.co.id/menu/panas-2-with-fries,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/UF2gdIf2F5V2J7T3OrmJ.webp,Sarapan Pagi
PaNas 2 with Rice,https://www.mcdonalds.co.id/menu/panas-2-with-rice,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/F5B8jt0X3XgWbd0hNJuK.webp,Sarapan Pagi
PaNas Spesial,https://www.mcdonalds.co.id/menu/panas-spesial,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/Mdfc31HLjuorHac10yKX.webp,Sarapan Pagi
PaMer 5,https://www.mcdonalds.co.id/menu/pamer-5,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/FFiKww17L02iCS5zt6wu.webp,Sarapan Pagi
PaMer 7,https://www.mcdonalds.co.id/menu/pamer-7,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/UsNMfIxcPrL0HU0I85uy.webp,Sarapan Pagi
Chicken Burger Deluxe,https://www.mcdonalds.co.id/menu/chicken-burger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/oFmaq8K5ZygDUbtdulJL.webp,Sarapan Pagi
Chicken Burger,https://www.mcdonalds.co.id/menu/chicken-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/q37X03Mb7vOsvq7O7OcM.webp,Sarapan Pagi
McSpicy™,https://www.mcdonalds.co.id/menu/mcspicy,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/AABttNcZpf9MuneG7NPp.webp,Sarapan Pagi
McNuggets®,https://www.mcdonalds.co.id/menu/mcnuggets,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/ce7g1MMi3D7YNWGH3iuK.webp,Sarapan Pagi
Chicken Snack Wrap,https://www.mcdonalds.co.id/menu/chicken-snack-wrap,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/JgMay1vJ7ADUmZR9vVht.webp,Sarapan Pagi
Spicy Chicken Bites,https://www.mcdonalds.co.id/menu/spicy-chicken-bites,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/a6IXmdsYgfJhoYRuvqIo.webp,Sarapan Pagi
Fish Fillet Burger,https://www.mcdonalds.co.id/menu/fish-fillet-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/Mo8OTCSNqjJ98BmPBhR5.webp,Sarapan Pagi
Fruit Tea Lemon,https://www.mcdonalds.co.id/menu/fruit-tea-lemon,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2024/4lHeMcIbcd1jktvLnDNc.png,Sarapan Pagi
Coca-Cola,https://www.mcdonalds.co.id/menu/coca-cola,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2024/yfd4K64qUgIrzn7ghwA7.png,Sarapan Pagi
Coca-Cola Zero Sugar,https://www.mcdonalds.co.id/menu/coca-cola-zero-sugar,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/Rp5QVMHK9IZZVAcxXimx.webp,Sarapan Pagi
Sprite,https://www.mcdonalds.co.id/menu/sprite,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2024/1Wj23TikTSWCO9cFd4Iy.png,Sarapan Pagi
Fanta,https://www.mcdonalds.co.id/menu/fanta,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2024/tWrJVxfnfwjTPPA4zhEy.png,Sarapan Pagi
Coca-Cola McFloat,https://www.mcdonalds.co.id/menu/coca-cola-mcfloat,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/xio5G2rAIFfvOoOe6CXY.webp,Sarapan Pagi
